character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank
谴,"讠, 辶, 口, 丨, 一, 㠯","to censure, to reprimand",qiǎn,"谴
├── 讠
└── 遣
    ├── 辶
    └── 𠳋
        ├── 𠀐
        │   ├── 中
        │   │   ├── 口
        │   │   └── 丨
        │   └── 一
        └── 㠯
            └── 𤕪",⿰讠⿺辶⿱⿱⿻口丨一㠯,,,,,2706
肢,"月, 十, 又","Human limbs, animal feet",zhī,"肢
├── 月
└── 支",⿰月⿱十又,① hand holding branch 支 attached to a body 月: limb,,,,2707
彰,"立, 日, 十, 彡","Clear, manifest, obvious",zhāng,"彰
├── 章
│   ├── 立
│   └── 早
│       ├── 日
│       └── 十
└── 彡",⿰⿱立⿱日十彡,① composition 章 of sun rays 彡: everything is clearly visible,,,,2708
胤,"丿, 幺, 月, 乚","Heir, successor, progeny, posterity",yìn,"胤
├── 儿
└── 37281
    ├── 幺
    └── 月",⿲丿⿱幺月乚,"① rs. bodies 月, a string 幺 of children 儿 ② a string 幺 of bodies 月 from between the legs 儿 of a man",,,,2709
搏,"扌, 十, 月, 丶, 寸","to fight, to combat, to seize, (of heart) to beat",bó,"搏
├── 扌
└── 尃
    ├── 甫
    │   ├── 41053
    │   │   ├── 十
    │   │   └── 用
    │   └── 丶
    └── 寸",⿰扌⿱⿺⿻十月丶寸,,,,,2710
晦,"日, 丿, 一, 母","Dark, unclear, obscure",huì,"晦
├── 日
└── 每
    ├── 𠂉
    │   ├── 丿
    │   └── 一
    └── 母",⿰日⿱⿰丿一母,① every 每 day 日 it gets dark,,,,2711
哎,"口, 艹, 丿, 乀","hey!, (interjection used to attract attention or to express surprise or disapprobation)",āi,"哎
├── 口
└── 艾
    ├── 艹
    └── 乂
        └── ㇒",⿰口⿱艹⿻丿乀,,,,,2712
笨,"竹, 木, 一","Foolish, stupid, dull, awkward",bèn,"笨
├── ⺮
└── 本
    ├── 木
    └── 一",⿱竹⿻木一,① rs. dumb like a stick of bamboo 竹 or like a book 本,,,,2713
钥,"钅, 月","Key, lock",yuè,"钥
├── 钅
└── 月",⿰钅月,① something with holes 龠 (→ 月) made in metal 金,,,,2714
旷,"日, 广","to neglect, to skip (class or work), to waste (time), vast, loose-fitting",kuàng,"旷
├── 日
└── 广",⿰日广,,,,,2715
兜,"白, コ, 儿","pocket, bag, to wrap up or hold in a bag, to move in a circle, to canvas or solicit, to take responsibility for, to disclose in detail, combat armor (old), old variant of 兜[dou1]",dōu,"兜
├── 38418
│   ├── 37780
│   │   ├── 37143
│   │   │   ├── ㇒
│   │   │   └── ㇗
│   │   └── 99721
│   │       └── 匚
│   └── 白
└── 儿",⿱⿲&CDP-8CBD;白コ儿,,,,,2716
咕,"口, 十","(onom.) for the sound of a bird, an empty stomach etc",gū,"咕
├── 口
└── 古
    ├── 十
    └── 口",⿰口⿱十口,,,,,2717
